timestamp, name, pci.bus_id, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2024/01/17 22:31:01.927, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 54, 100 %, 38 %, 28723 MiB
2024/01/17 22:31:02.029, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 55, 66 %, 25 %, 28723 MiB
2024/01/17 22:31:02.131, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 55, 66 %, 25 %, 28723 MiB
2024/01/17 22:31:02.233, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 55, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:02.335, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 56, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:02.437, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 55, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:02.539, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 55, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:02.641, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 55, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:02.743, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 55, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:02.845, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 56, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:02.948, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 55, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:03.049, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 55, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:03.151, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 56, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:03.253, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 55, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:03.354, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 56, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:03.456, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 56, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:03.563, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 56, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:03.664, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 56, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:03.766, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 56, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:03.868, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 56, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:03.969, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 56, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:04.071, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 56, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:04.173, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 56, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:04.274, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 56, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:04.376, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 56, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:04.478, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 56, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:04.580, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 56, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:04.682, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 56, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:04.784, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 56, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:04.886, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 56, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:04.989, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 56, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:05.092, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 56, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:05.194, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 55, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:05.296, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 82 %, 27 %, 28723 MiB
2024/01/17 22:31:05.398, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 82 %, 27 %, 28723 MiB
2024/01/17 22:31:05.500, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 42 %, 28723 MiB
2024/01/17 22:31:05.602, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 42 %, 28723 MiB
2024/01/17 22:31:05.703, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:05.805, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:05.907, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:06.008, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:06.110, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:06.211, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:06.313, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:06.415, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:06.516, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:06.618, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:06.720, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:06.821, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:06.923, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:07.025, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:07.127, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:07.229, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:07.330, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:07.432, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:07.534, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:07.635, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:07.737, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:07.839, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:07.940, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:08.042, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:08.144, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:08.246, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:08.347, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:08.449, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 40 %, 28723 MiB
2024/01/17 22:31:08.551, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 38 %, 28723 MiB
2024/01/17 22:31:08.653, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 38 %, 28723 MiB
2024/01/17 22:31:08.754, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 80 %, 26 %, 28723 MiB
2024/01/17 22:31:08.856, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 80 %, 26 %, 28723 MiB
2024/01/17 22:31:08.957, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:09.059, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:09.161, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 29 %, 28723 MiB
2024/01/17 22:31:09.263, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 29 %, 28723 MiB
2024/01/17 22:31:09.365, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 30 %, 28723 MiB
2024/01/17 22:31:09.467, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 30 %, 28723 MiB
2024/01/17 22:31:09.568, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 33 %, 28723 MiB
2024/01/17 22:31:09.670, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 33 %, 28723 MiB
2024/01/17 22:31:09.772, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 30 %, 28723 MiB
2024/01/17 22:31:09.873, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 30 %, 28723 MiB
2024/01/17 22:31:09.975, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 29 %, 28723 MiB
2024/01/17 22:31:10.076, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 29 %, 28723 MiB
2024/01/17 22:31:10.178, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:10.280, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:10.381, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:10.483, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:10.584, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 29 %, 28723 MiB
2024/01/17 22:31:10.686, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 29 %, 28723 MiB
2024/01/17 22:31:10.788, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 29 %, 28723 MiB
2024/01/17 22:31:10.890, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 29 %, 28723 MiB
2024/01/17 22:31:10.992, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:11.094, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:11.197, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:11.299, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:11.401, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 29 %, 28723 MiB
2024/01/17 22:31:11.503, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 29 %, 28723 MiB
2024/01/17 22:31:11.606, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 29 %, 28723 MiB
2024/01/17 22:31:11.707, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 29 %, 28723 MiB
2024/01/17 22:31:11.809, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:11.911, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:12.012, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 57, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:12.114, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:12.216, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 30 %, 28723 MiB
2024/01/17 22:31:12.318, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 29 %, 28723 MiB
2024/01/17 22:31:12.419, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 29 %, 28723 MiB
2024/01/17 22:31:12.521, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:12.623, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:12.724, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:12.826, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:12.928, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 30 %, 28723 MiB
2024/01/17 22:31:13.029, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 30 %, 28723 MiB
2024/01/17 22:31:13.131, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 29 %, 28723 MiB
2024/01/17 22:31:13.232, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 29 %, 28723 MiB
2024/01/17 22:31:13.333, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:13.435, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:13.536, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 33 %, 28723 MiB
2024/01/17 22:31:13.638, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 33 %, 28723 MiB
2024/01/17 22:31:13.739, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 97 %, 29 %, 28723 MiB
2024/01/17 22:31:13.840, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 97 %, 29 %, 28723 MiB
2024/01/17 22:31:13.942, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 74 %, 23 %, 28723 MiB
2024/01/17 22:31:14.043, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 74 %, 23 %, 28723 MiB
2024/01/17 22:31:14.145, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:14.246, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:14.348, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:14.449, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:14.551, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:14.652, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 60, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:14.753, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 28 %, 28723 MiB
2024/01/17 22:31:14.855, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 28 %, 28723 MiB
2024/01/17 22:31:14.957, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 33 %, 28723 MiB
2024/01/17 22:31:15.059, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 33 %, 28723 MiB
2024/01/17 22:31:15.161, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 28 %, 28723 MiB
2024/01/17 22:31:15.263, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 28 %, 28723 MiB
2024/01/17 22:31:15.365, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:15.467, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:15.570, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 60, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:15.673, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:15.775, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 60, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:15.877, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 58, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:15.978, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:16.080, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:16.181, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:16.283, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:16.384, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:16.486, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 60, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:16.588, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 28 %, 28723 MiB
2024/01/17 22:31:16.689, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 60, 100 %, 28 %, 28723 MiB
2024/01/17 22:31:16.791, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 33 %, 28723 MiB
2024/01/17 22:31:16.892, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 60, 100 %, 33 %, 28723 MiB
2024/01/17 22:31:16.994, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 28 %, 28723 MiB
2024/01/17 22:31:17.095, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 60, 100 %, 28 %, 28723 MiB
2024/01/17 22:31:17.197, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 60, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:17.299, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:17.400, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 60, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:17.502, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:17.603, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 60, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:17.705, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:17.806, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 60, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:17.908, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:18.010, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 30 %, 28723 MiB
2024/01/17 22:31:18.112, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 60, 100 %, 30 %, 28723 MiB
2024/01/17 22:31:18.213, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:18.315, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 60, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:18.417, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 28 %, 28723 MiB
2024/01/17 22:31:18.520, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 60, 100 %, 28 %, 28723 MiB
2024/01/17 22:31:18.622, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 33 %, 28723 MiB
2024/01/17 22:31:18.724, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 60, 100 %, 33 %, 28723 MiB
2024/01/17 22:31:18.826, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 60, 100 %, 28 %, 28723 MiB
2024/01/17 22:31:18.928, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 28 %, 28723 MiB
2024/01/17 22:31:19.030, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 61, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:19.132, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 32 %, 28723 MiB
2024/01/17 22:31:19.234, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 60, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:19.335, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 59, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:19.437, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 60, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:19.539, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 60, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:19.640, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 61, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:19.742, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 60, 100 %, 31 %, 28723 MiB
2024/01/17 22:31:19.844, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 60, 72 %, 28 %, 28723 MiB
2024/01/17 22:31:19.946, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 61, 72 %, 28 %, 28723 MiB
2024/01/17 22:31:20.048, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 60, 100 %, 41 %, 28723 MiB
2024/01/17 22:31:20.150, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 60, 100 %, 41 %, 28723 MiB
2024/01/17 22:31:20.252, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 61, 100 %, 41 %, 28723 MiB
